player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Provstgaard,D,Dc,LAZ,4,1.3,6.0,0.5,0.0,0.0,0.0,13,2.0,6.107,6.205,0.295,,0.316,0.0,0.0,0.13,0.0,1.0,0.666,0.663,0.04,0.039,0.04,0.356,0.9953,1.856,0,0,0,0.0,2,0,180,True,1.0,0.4636,0.4636,174.4,205.9,206.3,31.9,30.7,13.0,7,4,-6
Zerbin,C,W,FRO,6,1.2,6.0,0.5,0.0,0.0,0.0,12,4.0,5.843,5.822,0.103,0.025,0.441,0.016,0.063,0.095,0.0,4.0,1.763,1.606,0.11,0.139,0.11,1.122,0.9827,1.718,30,2,0,0.117,0,2,76,False,0.0,0.4634,0.4717,94.5,94.8,98.8,4.3,0.0,12.0,7,4,-5
Lucumì,D,Dc,JUV,7,1.7,6.0,0.5,0.0,0.0,0.0,17,1.0,5.88,5.88,0.0,,0.737,0.036,0.0,0.179,0.0,4.0,1.078,0.541,0.032,0.019,0.032,0.377,1.0076,1.992,126,7,0,0.49,1,1,75,True,0.5,0.4633,0.5001,173.4,176.6,177.5,4.1,1.4,17.0,9,5,-8
Idzes,D,Dc,SAS,7,1.9,6.0,0.5,0.0,0.0,0.0,19,2.0,5.947,5.95,0.01,,0.921,0.014,0.0,0.114,0.0,2.0,0.835,1.145,0.033,0.033,0.033,0.305,0.9714,1.594,113,4,1,0.739,1,1,90,True,0.5,0.4632,0.5209,172.1,182.6,183.7,11.6,7.4,19.0,10,5,-9
Gueye,A,Pc,UDI,4,0.7,6.0,0.5,0.0,0.0,0.0,7,1.0,5.77,5.77,0.0,,0.342,0.077,0.0,0.154,0.0,1.0,2.264,0.157,0.554,0.038,0.554,4.891,0.965,1.523,0,0,0,0.0,1,1,94,True,0.5,0.463,0.463,178.3,194.3,195.6,17.3,79.0,7.0,7,4,0
Haps,D,Ds;E,VEN,5,1.0,6.0,0.5,0.0,0.0,0.0,10,3.0,5.88,5.877,0.039,0.01,0.535,0.033,0.049,0.148,0.0,2.0,1.025,0.948,0.067,0.08,0.067,0.801,0.9494,1.351,57,7,0,0.222,1,1,92,True,0.5,0.4629,0.4788,175.4,191.0,191.0,15.6,15.8,10.0,6,3,-4
Diouf,C,E;C,INT,9,4.3,6.0,0.5,0.0,0.0,0.0,43,1.0,6.15,6.15,0.0,,0.263,,,,,1.0,0.945,1.752,0.184,0.341,0.184,1.948,1.1,3.009,7,2,0,0.027,1,1,75,True,0.5,0.4627,0.4646,173.6,200.6,201.2,27.6,17.9,43.0,26,13,-17
Patric,D,Dd;Dc,LAZ,1,0.1,6.0,0.5,0.0,0.0,0.0,1,11.0,5.812,5.825,0.149,0.0135,0.4,0.023,0.023,0.183,0.0,4.0,0.641,0.138,0.054,0.012,0.054,0.315,0.9953,1.856,0,0,0,0.0,0,0,0,False,0.0,0.4621,0.4621,87.0,87.4,95.0,8.0,0.0,1.0,1,1,0
Cancellieri,C,W;A,LAZ,9,2.5,6.0,0.5,0.0,0.0,0.0,25,5.0,5.885,5.924,0.12,-0.041,0.516,0.126,0.034,0.172,0.0,4.0,4.404,1.602,0.24,0.112,0.24,1.898,0.9953,1.856,126,7,0,0.49,2,0,108,True,1.0,0.4619,0.4985,181.5,199.4,199.4,17.9,16.7,25.0,14,7,-11
Paleari,P,Por,TOR,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,6.24,6.253,0.177,-0.04,0.289,0.0,0.0,0.034,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.9571,1.436,0,0,0,0.0,0,2,0,False,0.0,0.4611,0.4611,68.6,68.6,69.0,0.4,0.0,1.0,2,1,1
Marcandalli,D,Dc,GEN,6,1.4,6.0,0.5,0.0,0.0,0.0,14,2.0,5.873,5.875,0.005,,0.513,0.0,0.032,0.129,0.0,2.0,0.369,0.327,0.025,0.02,0.025,0.21,0.9593,1.46,40,4,0,0.156,2,0,180,True,1.0,0.461,0.472,175.1,193.5,193.5,18.4,18.3,14.0,8,4,-6
Dia,A,A,LAZ,10,2.0,6.0,0.5,0.0,0.0,0.0,20,4.0,5.818,5.952,0.217,-0.161,0.724,0.273,0.1,0.073,0.018,4.0,4.415,2.353,0.294,0.119,0.275,1.613,0.9953,1.856,192,13,0,0.7,2,0,159,True,1.0,0.461,0.5151,180.5,208.0,209.4,28.9,92.7,20.0,17,9,-3
Thorstvedt,C,C;T,SAS,10,3.9,6.0,0.5,0.0,0.0,0.0,39,3.0,6.055,6.03,0.088,0.075,0.789,0.133,0.056,0.233,0.0,3.0,5.184,2.024,0.199,0.091,0.199,1.575,0.9714,1.594,274,7,1,1.0,0,2,56,False,0.0,0.4603,0.5415,154.3,159.4,161.7,7.4,0.0,39.0,23,12,-16
Valle,D,Ds;E,COM,6,2.1,6.0,0.5,0.0,0.0,0.0,21,2.0,5.977,5.935,0.125,,0.513,0.026,0.077,0.128,0.0,2.0,0.7,0.998,0.036,0.059,0.036,0.586,1.0068,1.982,71,5,0,0.276,2,0,180,True,1.0,0.4602,0.4801,175.5,199.2,200.3,24.8,24.0,21.0,11,6,-10
Jones C.,C,C,INT,12,4.7,6.0,0.5,0.0,0.0,0.0,47,,,,,,,,,,,1.0,0.372,0.677,,,,,1.1,3.009,151,11,0,0.587,0,1,25,False,0.0,0.4599,0.5043,161.1,167.3,168.0,6.9,0.0,47.0,29,14,-18
Gomes,D,Ds;Dc,VEN,1,0.1,6.0,0.5,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,0.9494,1.351,142,10,0,0.552,0,2,0,False,0.0,0.4599,0.5014,150.1,155.2,155.2,5.1,0.0,1.0,1,1,0
Rodriguez Ju.,D,Ds;Dc,CAG,4,1.4,6.0,0.5,0.0,0.0,0.0,14,1.0,5.62,5.62,0.0,,0.421,0.062,0.0,0.188,0.0,1.0,3.921,6.971,0.204,0.363,0.204,2.344,0.9604,1.472,71,5,0,0.276,2,0,180,True,1.0,0.4594,0.4792,175.1,189.6,189.6,14.5,14.4,14.0,8,4,-6
Miller L.,C,M;C,UDI,4,1.2,6.0,0.5,0.0,0.0,0.0,12,1.0,5.92,5.92,0.0,,0.5,0.0,0.105,0.211,0.0,1.0,0.306,1.345,0.028,0.123,0.028,0.822,0.965,1.523,55,4,0,0.214,0,2,49,False,0.0,0.4587,0.4739,104.7,106.3,110.8,6.1,0.0,12.0,7,4,-5
Gandelman,C,C;T,LEC,4,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,5.97,5.97,0.0,,0.421,0.125,0.062,0.0,0.0,1.0,1.734,1.121,0.161,0.104,0.161,0.927,0.9201,1.029,62,6,0,0.241,0,2,1,False,0.0,0.4586,0.4758,94.8,96.0,96.6,1.8,0.0,10.0,6,3,-4
Lipani,C,M;C,SAS,2,0.5,6.0,0.5,0.0,0.0,0.0,5,2.0,5.953,5.965,0.035,,0.368,0.0,0.048,0.143,0.0,2.0,0.672,0.659,0.07,0.085,0.07,0.962,0.9714,1.594,21,4,0,0.082,0,2,1,False,0.0,0.4581,0.4638,82.5,82.5,89.7,7.2,0.0,5.0,3,2,-2
Lobotka,C,M;C,NAP,8,2.3,6.0,0.5,0.0,0.0,0.0,23,7.0,6.03,6.1,0.123,-0.0168,0.665,0.017,0.017,0.081,0.0,4.0,0.395,1.237,0.014,0.039,0.014,0.311,1.0241,2.173,125,11,0,0.486,2,0,180,True,1.0,0.4579,0.4939,177.3,193.5,194.2,16.9,10.8,23.0,13,7,-10
Kuhn,A,W;A,COM,3,0.5,6.0,0.5,0.0,0.0,0.0,5,1.0,5.96,5.96,0.0,,0.368,0.071,0.071,0.0,0.0,1.0,0.903,1.439,0.126,0.201,0.126,1.12,1.0068,1.982,24,5,0,0.093,0,0,0,False,0.0,0.4577,0.4642,87.1,87.1,87.7,0.6,0.0,5.0,5,3,0
Balerdi,D,Dc,ROM,6,1.1,6.0,0.5,0.0,0.0,0.0,11,,,,,,,,,,,,,,,,,,1.0268,2.203,139,11,0,0.541,0,1,0,False,0.0,0.4576,0.498,150.1,155.2,155.2,5.1,0.0,11.0,6,3,-5
Mazzocchi,D,Dd;Ds;E,VEN,1,1.0,6.0,0.5,0.0,0.0,0.0,10,5.0,5.817,5.866,0.179,-0.027,0.542,0.024,0.083,0.131,0.0,4.0,0.19,1.327,0.039,0.102,0.039,0.693,0.9494,1.351,72,7,0,0.28,0,0,0,False,0.0,0.4573,0.4774,117.9,118.3,120.7,2.8,0.0,10.0,6,3,-4
Monterisi,D,Dc,FRO,6,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,5.83,5.83,0.0,,0.474,0.111,0.111,0.056,0.0,1.0,1.417,0.392,0.087,0.024,0.087,0.306,0.9827,1.718,57,6,0,0.222,2,0,157,True,1.0,0.4571,0.4728,180.3,206.1,206.3,26.0,30.9,13.0,7,4,-6
Zapata D.,A,Pc,TOR,6,1.2,6.0,0.5,0.0,0.0,0.0,12,11.0,6.148,6.234,0.253,0.0054,0.739,0.374,0.129,0.073,0.023,4.0,5.424,1.784,0.359,0.105,0.348,2.949,0.9571,1.436,345,7,1,1.0,0,2,12,False,0.0,0.4568,0.5374,148.8,177.9,179.8,31.0,62.6,12.0,11,6,-1
Muric,P,Por,SAS,7,1.5,6.0,0.5,0.0,0.0,0.0,15,1.0,6.08,6.08,0.0,,0.842,0.0,0.0,0.125,0.0,1.0,,0.033,0.0,0.001,0.0,0.0,0.9714,1.594,105,2,1,0.708,2,0,180,True,1.0,0.4563,0.5105,172.9,186.3,188.1,15.2,19.7,15.0,15,8,0
Mendy P.,A,Pc,CAG,4,1.2,6.0,0.5,0.0,0.0,0.0,12,1.0,5.94,5.94,0.0,,0.211,,,,,1.0,2.389,0.257,0.66,0.071,0.66,4.141,0.9604,1.472,5,2,0,0.019,2,0,123,True,1.0,0.4563,0.4576,177.9,200.1,200.1,22.2,84.8,12.0,11,6,-1
Schmid,C,W;T,FRO,8,2.5,6.0,0.5,0.0,0.0,0.0,25,,,,,,,,,,,,,,,,,,0.9827,1.718,150,11,0,0.583,2,0,149,True,1.0,0.4563,0.5,172.0,183.9,184.6,12.6,1.2,25.0,14,7,-11
Kaiki,D,Ds;E,COM,6,1.3,6.0,0.5,0.0,0.0,0.0,13,,,,,,,,,,,,,,,,,,1.0068,1.982,69,2,1,0.568,0,2,9,False,0.0,0.4562,0.4987,150.1,155.2,155.2,5.1,0.0,13.0,7,4,-6
Vitinha O.,A,A,GEN,8,1.3,6.0,0.5,0.0,0.0,0.0,13,3.0,6.008,6.087,0.237,-0.235,0.518,0.132,0.075,0.132,0.0,3.0,4.245,2.15,0.229,0.15,0.229,2.597,0.9593,1.46,149,7,0,0.579,2,0,153,True,1.0,0.4559,0.4993,182.0,197.2,198.8,16.8,81.9,13.0,12,6,-1
Obrador,D,Ds;E,SAS,6,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,6.06,6.06,0.0,,0.421,0.062,0.188,0.062,0.0,1.0,0.172,1.056,0.014,0.084,0.014,0.555,0.9714,1.594,43,4,0,0.167,0,2,29,False,0.0,0.4554,0.4671,101.3,102.8,102.8,1.5,0.0,13.0,7,4,-6
Calvani,D,Dc,FRO,5,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,5.81,5.81,0.0,,0.342,0.0,0.0,0.077,0.0,2.0,0.672,0.659,0.07,0.085,0.07,0.962,0.9827,1.718,0,0,0,0.0,2,0,164,True,1.0,0.4547,0.4547,176.6,195.9,196.2,19.6,20.7,13.0,7,4,-6
Deiola,C,M;C,CAG,3,0.8,6.0,0.5,0.0,0.0,0.0,8,9.0,5.933,5.809,0.123,0.0217,0.459,0.052,0.03,0.215,0.0,3.0,2.088,0.785,0.132,0.047,0.132,1.302,0.9604,1.472,97,5,0,0.377,2,0,173,True,1.0,0.4543,0.4815,181.9,193.1,194.1,12.2,10.4,8.0,5,3,-3
Bernabè,C,C,PAR,7,3.4,6.0,0.5,0.0,0.0,0.0,34,1.0,6.17,6.17,0.0,,0.842,0.094,0.031,0.0,0.0,2.0,2.253,3.146,0.093,0.141,0.093,1.73,0.9545,1.408,250,9,1,1.0,2,0,146,True,1.0,0.4543,0.5345,180.4,187.6,189.3,8.9,4.9,34.0,20,10,-14
Piana,P,Por,UDI,1,0.1,6.0,0.5,0.0,0.0,0.0,1,4.0,,,0.0,,,,,,,,,,,,,,0.965,1.523,85,4,1,0.631,0,2,0,False,0.0,0.4539,0.5014,150.1,155.2,155.2,5.1,0.0,1.0,2,1,1
El Aynaoui,C,M;C,ROM,4,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,5.98,5.98,0.0,,0.553,0.048,0.095,0.238,0.0,1.0,0.958,1.774,0.09,0.167,0.09,0.564,1.0268,2.203,116,6,0,0.451,0,1,11,False,0.0,0.4532,0.4861,122.4,122.4,123.0,0.6,0.0,13.0,7,4,-6
Doekhi,D,Dc,LAZ,8,1.6,6.0,0.5,0.0,0.0,0.0,16,,,,,,,,,,,,,,,,,,0.9953,1.856,75,3,1,0.592,2,0,180,True,1.0,0.4529,0.497,172.0,183.9,184.6,12.6,8.7,16.0,9,5,-7
Ordonez C.,C,M;C,PAR,3,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,5.79,5.79,0.0,,0.553,0.048,0.0,0.143,0.0,1.0,0.449,0.27,0.038,0.023,0.038,0.836,0.9545,1.408,86,4,0,0.334,2,0,151,True,1.0,0.4527,0.4766,177.1,187.2,188.2,11.1,4.5,10.0,6,3,-4
Tomori,D,Dc,MIL,6,0.8,6.0,0.5,0.0,0.0,0.0,8,6.0,5.938,6.077,0.155,-0.0806,0.684,0.038,0.013,0.147,0.0,4.0,0.94,0.588,0.061,0.023,0.061,0.367,1.0464,2.419,66,2,1,0.557,0,0,0,False,0.0,0.4527,0.494,141.3,144.4,145.1,3.8,0.0,8.0,5,3,-3
Mina,D,Dc,CAG,7,2.0,6.0,0.5,0.0,0.0,0.0,20,3.0,6.025,6.03,0.024,-0.015,0.632,0.069,0.014,0.167,0.014,3.0,1.938,0.331,0.084,0.015,0.073,0.599,0.9604,1.472,164,16,0,0.638,0,1,0,False,0.0,0.4527,0.5006,137.7,137.7,137.7,0.0,0.0,20.0,11,6,-9
Comuzzo,D,Dc,TOR,8,1.3,6.0,0.5,0.0,0.0,0.0,13,3.0,5.845,5.887,0.103,-0.125,0.474,0.038,0.0,0.135,0.0,2.0,0.701,0.203,0.03,0.009,0.03,0.324,0.9571,1.436,51,7,0,0.198,2,0,175,True,1.0,0.4522,0.466,179.8,194.2,194.5,14.7,19.0,13.0,7,4,-6
Bleve,P,Por,LEC,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,,,0.0,,,,,,,,,,,,,,0.9201,1.029,91,2,1,0.654,0,2,0,False,0.0,0.4522,0.5014,150.1,155.2,155.2,5.1,0.0,1.0,2,1,1
Butez,P,Por,COM,15,5.0,6.0,0.5,0.0,0.0,0.0,50,2.0,6.12,6.145,0.075,,0.737,0.0,0.018,0.054,0.0,2.0,,0.241,0.0,0.009,0.0,0.0,1.0068,1.982,93,2,1,0.662,2,0,180,True,1.0,0.4518,0.5016,177.5,190.6,190.6,13.1,24.0,50.0,61,29,11
Solet,D,Dc,UDI,13,4.6,6.0,0.5,0.0,0.0,0.0,46,2.0,6.173,6.17,0.01,,0.697,0.075,0.038,0.038,0.019,2.0,2.231,1.758,0.074,0.068,0.059,0.873,0.965,1.523,136,8,1,0.829,2,0,180,True,1.0,0.451,0.5151,179.9,191.8,192.8,12.9,16.6,62.1,33,16,-13
Bartesaghi,D,Ds;E,MIL,8,2.2,6.0,0.5,0.0,0.0,0.0,22,3.0,5.762,5.767,0.309,-0.015,0.325,0.065,0.0,0.097,0.0,2.0,0.916,1.957,0.049,0.14,0.049,0.789,1.0464,2.419,4,2,0,0.016,1,1,111,True,0.5,0.4507,0.4518,178.3,194.4,195.5,17.2,19.2,22.0,12,6,-10
Baldanzi,C,T,GEN,11,2.8,6.0,0.5,0.0,0.0,0.0,28,4.0,6.088,6.095,0.062,-0.008,0.579,0.091,0.034,0.102,0.0,4.0,2.026,1.518,0.17,0.118,0.17,1.981,0.9593,1.46,155,14,0,0.603,2,0,144,True,1.0,0.4503,0.4951,181.4,196.8,196.8,15.4,14.1,28.0,16,8,-12
N'Dri,A,W;A,LEC,4,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,5.833,5.84,0.02,,0.316,0.118,0.0,0.176,0.0,,,,,,,,0.9201,1.029,0,0,0,0.0,1,1,119,True,0.5,0.4495,0.4495,178.0,200.7,201.8,23.8,85.4,12.0,11,6,-1
Saelemaekers,C,E;W,MIL,11,3.5,6.0,0.5,0.0,0.0,0.0,35,7.0,6.213,6.067,0.15,0.0496,0.729,0.103,0.093,0.129,0.0,4.0,3.294,3.852,0.149,0.182,0.149,1.559,1.0464,2.419,172,9,1,0.969,0,2,55,False,0.0,0.4494,0.5258,148.3,157.5,157.5,9.2,0.0,35.0,21,11,-14
Tourè I.,C,E;M,MON,6,1.4,6.0,0.5,0.0,0.0,0.0,14,1.0,5.82,5.82,0.0,,0.789,0.033,0.0,0.133,0.0,1.0,1.883,1.041,0.459,0.254,0.459,2.927,0.9337,1.178,124,3,1,0.782,0,0,0,False,0.0,0.4494,0.5091,148.0,151.9,151.9,3.9,0.0,14.0,8,4,-6
Bayo V.,A,Pc,UDI,1,0.3,6.0,0.5,0.0,0.0,0.0,3,1.0,5.75,5.75,0.0,,0.316,0.0,0.083,0.0,0.0,1.0,1.326,0.731,0.276,0.152,0.276,2.917,0.965,1.523,26,3,0,0.101,0,2,18,False,0.0,0.4493,0.4562,69.8,69.8,77.6,7.8,0.0,3.0,3,2,0
Kelly L.,D,Ds;Dc,JUV,5,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,5.897,5.84,0.17,,0.618,0.021,0.021,0.106,0.0,2.0,0.85,0.598,0.035,0.027,0.035,0.538,1.0076,1.992,135,9,0,0.525,1,1,105,True,0.5,0.4493,0.4877,173.5,176.7,177.9,4.4,1.5,12.0,7,4,-5
Thiam,P,Por,MON,4,0.5,6.0,0.5,0.0,0.0,0.0,5,1.0,5.81,5.81,0.0,,0.342,0.077,0.077,0.077,0.0,,,,,,,,0.9337,1.178,0,0,0,0.0,1,0,90,True,0.5,0.4491,0.4491,179.1,200.7,200.7,21.6,34.1,5.0,5,3,0
Gila,D,Dc,MIL,13,3.1,6.0,0.5,0.0,0.0,0.0,31,4.0,6.035,5.9,0.231,0.162,0.566,0.012,0.0,0.155,0.0,3.0,1.203,0.695,0.038,0.027,0.038,0.446,1.0464,2.419,127,9,0,0.494,2,0,163,True,1.0,0.4489,0.4848,172.9,193.1,193.1,20.2,17.9,41.85,22,11,-9
Buongiorno,D,Dc,NAP,6,1.5,6.0,0.5,0.0,0.0,0.0,15,7.0,6.117,5.173,2.124,0.6964,0.645,0.034,0.027,0.197,0.0,4.0,1.442,0.722,0.063,0.027,0.063,0.463,1.0241,2.173,238,13,0,0.7,0,0,0,False,0.0,0.4489,0.5016,136.7,136.7,136.7,0.0,0.0,75.0,40,19,25
Belahyane,C,M;C,LAZ,2,0.3,6.0,0.5,0.0,0.0,0.0,3,3.0,5.85,5.93,0.226,-0.24,0.342,0.0,0.108,0.135,0.0,2.0,0.203,1.163,0.015,0.085,0.015,0.331,0.9953,1.856,20,4,0,0.078,0,2,53,False,0.0,0.4485,0.4538,76.4,76.5,85.0,8.6,0.0,3.0,2,2,-1
Turati,P,Por,SAS,1,0.1,6.0,0.5,0.0,0.0,0.0,1,6.0,6.217,4.152,2.936,0.7054,0.454,0.0,0.0,0.016,0.0,3.0,,0.014,0.0,0.001,0.0,0.0,0.9714,1.594,105,10,0,0.408,0,2,0,False,0.0,0.4485,0.4777,98.6,99.5,99.5,0.9,0.0,1.0,2,1,1
Ziolkowski,D,Dc,MON,1,0.8,6.0,0.5,0.0,0.0,0.0,8,1.0,5.94,5.94,0.0,,0.237,,,,,1.0,0.141,0.041,0.025,0.007,0.025,0.36,0.9337,1.178,0,0,0,0.0,0,1,0,False,0.0,0.4485,0.4485,52.9,52.9,72.7,19.8,0.0,8.0,5,3,-3
Lazzari,D,Dd;E,LAZ,2,0.5,6.0,0.5,0.0,0.0,0.0,5,9.0,5.848,6.037,0.166,-0.0567,0.725,0.028,0.089,0.157,0.0,4.0,0.268,1.055,0.025,0.064,0.025,0.366,0.9953,1.856,162,12,0,0.63,0,2,10,False,0.0,0.4484,0.4952,146.7,150.2,150.5,3.8,0.0,5.0,3,2,-2
Dovbyk,A,Pc,BOL,15,5.1,6.0,0.5,0.0,0.0,0.0,51,2.0,6.0,6.0,0.0,,0.592,0.333,0.067,0.0,0.044,2.0,6.85,2.107,0.557,0.135,0.509,2.395,1.004,1.952,310,13,1,1.0,0,2,60,False,0.0,0.4479,0.5269,160.6,184.5,184.5,23.9,69.2,51.0,44,22,-7
Davis K.,A,Pc,UDI,19,10.8,6.0,0.5,0.0,0.0,0.0,108,3.0,6.193,6.173,0.132,0.06,0.447,0.261,0.109,0.152,0.087,3.0,6.06,2.281,0.367,0.186,0.284,2.308,0.965,1.523,325,12,1,1.0,1,0,68,True,0.5,0.4478,0.5268,170.5,195.8,195.8,25.3,80.5,108.0,93,46,-15
Rrahmani Al.,A,Pc,VEN,7,1.3,6.0,0.5,0.0,0.0,0.0,13,7.0,6.155,6.114,0.123,0.02,0.752,0.065,0.015,0.12,0.0,4.0,1.998,0.92,0.076,0.032,0.076,0.779,0.9494,1.351,152,7,1,0.891,0,2,19,False,0.0,0.4469,0.5158,156.1,156.9,160.4,4.3,41.6,13.0,12,6,-1
Sutalo J.,D,Dc,LAZ,7,1.9,6.0,0.5,0.0,0.0,0.0,19,,,,,,,,,,,,,,,,,,0.9953,1.856,203,14,0,0.7,0,1,0,False,0.0,0.4469,0.4993,150.1,155.2,155.2,5.1,0.0,19.0,10,5,-9
Spinazzola,D,Ds;E,NAP,8,2.5,6.0,0.5,0.0,0.0,0.0,25,10.0,6.123,6.108,0.124,0.0088,0.547,0.046,0.112,0.051,0.0,4.0,0.985,3.186,0.045,0.18,0.045,0.719,1.0241,2.173,150,14,0,0.583,1,1,124,True,0.5,0.4464,0.4892,178.7,190.5,191.0,12.3,15.3,25.0,13,7,-12
Dodò,D,Dd;E,FIO,9,2.0,6.0,0.5,0.0,0.0,0.0,20,1.0,5.99,5.99,0.0,,0.947,0.028,0.056,0.194,0.0,4.0,1.172,3.251,0.034,0.128,0.034,0.64,1.0124,2.045,190,10,1,1.0,1,1,90,True,0.5,0.4462,0.525,175.8,187.6,188.0,12.2,12.4,20.0,11,6,-9
Rensch,D,B;Dd;E,ROM,4,1.4,6.0,0.5,0.0,0.0,0.0,14,2.0,6.127,6.11,0.05,,0.355,0.053,0.211,0.053,0.0,2.0,0.587,1.74,0.066,0.191,0.066,0.495,1.0268,2.203,81,12,0,0.315,0,0,0,False,0.0,0.4461,0.4682,83.6,83.6,85.7,2.1,0.0,14.0,8,4,-6
Schingtienne,D,Dc,VEN,3,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,5.7,5.7,0.0,,0.395,0.0,0.0,0.133,0.0,1.0,,0.097,0.0,0.008,0.0,0.0,0.9494,1.351,32,3,0,0.124,2,0,180,True,1.0,0.4455,0.4539,179.4,191.0,191.6,12.2,15.8,10.0,6,3,-4
Milla,C,M;C,COM,6,3.0,6.0,0.5,0.0,0.0,0.0,30,,,,,,,,,,,,,,,,,,1.0068,1.982,123,2,1,0.778,2,0,180,True,1.0,0.4454,0.5043,170.3,177.9,178.8,8.5,0.0,30.0,17,9,-13
Okoye,P,Por,UDI,9,2.8,6.0,0.5,0.0,0.0,0.0,28,3.0,6.097,6.113,0.042,-0.05,0.667,0.0,0.013,0.053,0.0,3.0,,0.024,0.0,0.001,0.0,0.0,0.965,1.523,93,2,1,0.662,2,0,180,True,1.0,0.4451,0.4942,173.6,189.1,189.1,15.5,22.5,28.0,31,15,3
Mora,C,T,ROM,20,10.0,6.0,0.5,0.0,0.0,0.0,100,2.0,5.773,5.785,0.035,,0.25,0.0,0.0,0.294,0.0,,,,,,,,1.0268,2.203,12,2,0,0.047,1,1,84,True,0.5,0.445,0.4482,179.4,197.6,197.6,18.2,14.9,100.0,67,33,-33
Koutsoupias,C,C,FRO,4,1.1,6.0,0.5,0.0,0.0,0.0,11,,,,,,,,,,,,,,,,,,0.9827,1.718,114,2,1,0.743,0,1,0,False,0.0,0.4449,0.5007,145.3,150.3,150.3,5.0,0.0,11.0,6,3,-5
Bernasconi,D,Ds;E,ATA,6,1.8,6.0,0.5,0.0,0.0,0.0,18,1.0,6.09,6.09,0.0,,0.579,0.0,0.136,0.136,0.0,1.0,0.419,3.146,0.024,0.18,0.024,0.516,1.0354,2.298,75,2,1,0.592,1,1,71,True,0.5,0.4448,0.4881,174.7,184.7,185.3,10.6,9.5,18.0,10,5,-8
Bisseck,D,Dc,INT,12,3.6,6.0,0.5,0.0,0.0,0.0,36,3.0,6.17,6.193,0.148,-0.07,0.535,0.131,0.082,0.098,0.0,3.0,2.373,0.869,0.124,0.053,0.124,1.173,1.1,3.009,103,5,1,0.701,1,1,99,True,0.5,0.4446,0.4968,178.9,190.3,191.1,12.2,15.1,48.6,25,13,-11
Zaniolo,C,T;A,UDI,18,8.0,6.0,0.5,0.0,0.0,0.0,80,7.0,6.108,5.199,2.126,0.2121,0.618,0.142,0.078,0.305,0.0,3.0,4.382,2.611,0.281,0.182,0.281,2.784,0.965,1.523,201,13,1,1.0,1,0,89,True,0.5,0.4446,0.523,169.7,180.9,182.8,13.1,0.0,80.0,52,26,-28
Rrahmani,D,Dc,NAP,15,5.1,6.0,0.5,0.0,0.0,0.0,51,7.0,6.155,6.114,0.123,0.02,0.752,0.065,0.015,0.12,0.0,4.0,1.998,0.92,0.076,0.032,0.076,0.779,1.0241,2.173,165,8,1,0.942,2,0,180,True,1.0,0.4445,0.5177,179.4,180.5,184.2,4.8,5.3,68.85000000000001,36,18,-15
Calò,C,M;C,FRO,8,2.7,6.0,0.5,0.0,0.0,0.0,27,,,,,,,,,,,,,,,,,,0.9827,1.718,116,6,1,0.751,2,0,172,True,1.0,0.4442,0.5006,170.3,177.9,178.8,8.5,0.0,27.0,15,8,-12
Venturino,C,W,GEN,2,0.4,6.0,0.5,0.0,0.0,0.0,4,2.0,6.183,6.345,0.485,,0.132,,,,,2.0,0.587,0.524,0.352,0.253,0.352,2.172,0.9593,1.46,7,3,0,0.027,0,0,0,False,0.0,0.4442,0.446,36.5,36.5,64.9,28.4,0.0,4.0,3,2,-1
Pellegrini Lo.,C,C;T,ROM,9,2.0,6.0,0.5,0.0,0.0,0.0,20,11.0,5.937,6.066,0.182,-0.0058,0.699,0.168,0.14,0.202,0.034,4.0,5.068,3.937,0.278,0.186,0.215,2.2,1.0268,2.203,352,10,1,1.0,0,0,0,False,0.0,0.4439,0.5222,142.8,150.8,150.8,8.0,0.0,20.0,11,6,-9
