player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Kabasele,D,Dc,UDI,4,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.895,5.857,0.095,0.115,0.474,0.114,0.0,0.114,0.0,3.0,1.747,0.339,0.102,0.021,0.102,0.629,0.965,1.523,14,2,0,0.054,0,0,0,False,0.0,0.4757,0.4796,109.2,109.8,112.3,3.1,0.0,12.0,7,4,-5
Kamara H.,D,Ds;E,UDI,9,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.927,5.957,0.076,-0.09,0.763,0.023,0.069,0.172,0.0,3.0,1.117,2.894,0.061,0.126,0.061,0.858,0.965,1.523,85,8,0,0.331,2,0,180,True,1.0,0.4755,0.5003,175.4,197.4,197.4,22.0,22.2,12.0,7,4,-5
Ndour,C,C,FIO,7,2.2,6.0,0.5,0.0,0.0,0.0,22,2.0,5.77,5.755,0.045,,0.487,0.1,0.0,0.067,0.0,2.0,1.792,0.174,0.109,0.014,0.109,1.109,1.0124,2.045,3,2,0,0.012,2,0,152,True,1.0,0.4753,0.4762,177.9,206.0,206.2,28.3,23.3,22.0,12,7,-10
Tchato,D,Dd;E,FRO,3,0.8,6.0,0.5,0.0,0.0,0.0,8,,,,,,,,,,,,,,,,,,0.9827,1.718,89,4,0,0.346,0,0,0,False,0.0,0.475,0.501,157.0,161.7,161.7,4.7,0.0,8.0,5,3,-3
Mitaj,D,Ds;E,GEN,4,1.0,6.0,0.5,0.0,0.0,0.0,10,,,,,,,,,,,,,,,,,,0.9593,1.46,87,6,0,0.338,0,2,0,False,0.0,0.475,0.5004,157.0,161.7,161.7,4.7,0.0,10.0,6,3,-4
Montipò,P,Por,VEN,1,0.1,6.0,0.5,0.0,0.0,0.0,1,1.0,6.2,6.2,0.0,,0.921,0.0,0.029,0.0,0.0,4.0,,0.058,0.0,0.002,0.0,0.0,0.9494,1.351,91,4,1,0.654,0,2,0,False,0.0,0.4748,0.5264,178.2,200.5,200.5,22.3,33.9,1.0,2,1,1
Masini,C,M;C,FRO,3,0.8,6.0,0.5,0.0,0.0,0.0,8,2.0,6.007,6.02,0.04,,0.513,0.026,0.026,0.179,0.0,2.0,1.499,0.746,0.076,0.046,0.076,0.805,0.9827,1.718,41,4,0,0.159,1,1,121,True,0.5,0.4744,0.486,176.4,193.1,194.2,17.8,10.4,8.0,5,3,-3
Perrone,C,M;C,COM,10,3.4,6.0,0.5,0.0,0.0,0.0,34,2.0,6.127,6.08,0.14,,0.803,0.049,0.115,0.23,0.0,2.0,1.973,2.248,0.067,0.087,0.067,0.545,1.0068,1.982,82,4,1,0.619,1,1,69,True,0.5,0.4744,0.523,179.2,188.0,188.4,9.2,5.3,34.0,20,10,-14
Birindelli,D,Dd;Ds;E,MON,4,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.947,5.927,0.071,0.06,0.719,0.037,0.024,0.207,0.0,3.0,1.532,2.015,0.078,0.111,0.078,0.994,0.9337,1.178,107,6,0,0.416,2,0,174,True,1.0,0.4742,0.5058,178.6,191.7,191.7,13.1,16.5,12.0,7,4,-5
Celik,D,B;Dd;E,JUV,8,1.6,6.0,0.5,0.0,0.0,0.0,16,4.0,5.998,5.92,0.153,0.094,0.625,0.011,0.053,0.137,0.0,4.0,1.111,1.733,0.036,0.087,0.036,0.529,1.0076,1.992,60,10,0,0.233,2,0,159,True,1.0,0.4737,0.4909,174.8,198.7,200.0,25.2,23.5,16.0,9,5,-7
Elmas,C,W;T,ATA,7,2.2,6.0,0.5,0.0,0.0,0.0,22,7.0,5.94,6.004,0.122,-0.005,0.586,0.116,0.082,0.136,0.007,4.0,2.372,1.272,0.181,0.097,0.167,1.613,1.0354,2.298,78,6,0,0.303,0,2,42,False,0.0,0.4737,0.4963,130.0,132.3,133.1,3.1,0.0,22.0,12,7,-10
Taylor K.,C,C;T,LAZ,13,5.3,6.0,0.5,0.0,0.0,0.0,53,1.0,6.06,6.06,0.0,,0.447,0.176,0.118,0.294,0.0,1.0,2.089,1.084,0.133,0.069,0.133,1.016,0.9953,1.856,44,6,0,0.171,2,0,180,True,1.0,0.4737,0.4862,181.2,215.8,217.5,36.3,33.1,53.0,33,16,-20
